stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
SKF India Ltd.,106.20,79.90,60.20,58.50,65.70,106.20,79.90,60.20,58.50,65.70,119.67,91.47,71.94,70.01,77.30,473.61,381.45,316.30,385.37,343.23,473.61,381.45,316.30,385.37,343.23,40.00,14.50,14.50,130.00,12.00,870.74,741.48,540.20,574.75,613.78,162.07,119.36,92.31,91.70,116.96,148.55,107.82,80.59,80.15,107.57,148.25,107.39,80.16,78.23,106.03,106.15,79.92,60.22,58.45,67.91,18.61,16.09,17.08,15.95,19.05,17.06,14.54,14.91,13.94,17.52,17.02,14.48,14.83,13.61,17.27,12.19,10.77,11.14,10.17,11.06,22.41,20.95,19.03,15.16,19.78,30.83,27.56,24.75,20.29,30.75,16.51,15.03,12.92,11.70,14.61,0.00,0.00,0.00,0.00,0.05,1.48,1.49,115.98,115.07,132.12,3.08,2.82,2.35,3.56,3.02,2.21,1.84,1.68,2.69,2.20,1.53,1.57,5.71,6.29,6.58,0.00,18.14,215.86,20.53,18.34,0.00,15.85,180.69,17.14,16.12,0.00,81.86,-115.86,79.47,81.66,0.00,84.15,-80.69,82.86,83.88,"20,085.19","17,090.76","10,624.18","6,540.87","9,462.83",4.67,4.66,3.98,2.30,3.12,25.07,28.96,23.28,14.43,16.36,4.89,4.77,4.17,2.52,3.29,0.00,81.85,-115.86,79.46,81.65,8.99,9.28,7.11,3.76,5.88,4.89,4.77,4.17,2.52,3.29,0.02,0.02,0.03,0.04,0.03
Shree Cements Ltd.,368.10,658.69,640.77,445.08,273.00,368.10,658.69,640.77,445.08,273.00,796.65,945.98,956.72,906.21,672.43,"5,068.86","4,786.83","4,226.74","3,585.48","2,754.70","5,068.86","4,786.83","4,226.74","3,585.48","2,754.70",100.00,90.00,60.00,110.00,60.00,"4,666.71","3,965.04","3,489.02","3,299.33","3,364.52",935.08,"1,159.97","1,223.04","1,093.72",831.87,506.53,872.70,907.10,622.71,432.42,432.00,812.34,838.61,543.30,310.40,368.11,658.71,640.78,435.19,272.98,20.03,29.25,35.05,33.14,24.72,10.85,22.00,25.99,18.87,12.85,9.25,20.48,24.03,16.46,9.22,7.88,16.61,18.36,13.19,8.11,7.26,13.76,15.16,12.13,9.90,9.50,16.69,18.67,14.46,11.40,5.14,10.14,10.98,8.11,6.25,0.14,0.12,0.12,0.18,0.29,0.68,0.64,59.83,61.55,77.15,1.23,1.69,2.05,1.79,2.01,0.87,1.21,1.63,1.42,1.21,0.57,2.29,8.52,8.34,7.38,0.00,15.94,0.00,33.04,20.14,0.00,11.09,0.00,15.86,8.17,0.00,84.06,0.00,66.96,79.86,0.00,88.91,0.00,84.14,91.83,"96,865.95","88,463.02","107,977.11","65,649.70","67,392.33",5.75,6.18,8.58,5.51,5.75,28.71,21.14,24.47,16.64,23.25,5.61,6.05,8.45,5.33,5.54,0.00,84.05,0.00,66.95,79.85,5.16,5.01,6.97,4.90,6.76,5.61,6.05,8.45,5.33,5.54,0.01,0.03,0.02,0.02,0.01
Sharda Cropchem Ltd.,35.99,31.36,23.25,21.27,15.96,35.99,31.36,23.25,21.27,15.96,63.49,58.54,42.14,36.46,26.97,221.93,191.93,166.56,145.30,130.03,221.93,191.93,166.56,145.30,130.03,6.00,6.00,5.00,4.00,4.00,367.18,326.58,225.29,179.12,178.13,73.51,70.87,50.66,38.53,35.92,46.02,43.68,31.77,23.34,24.92,45.59,43.50,31.55,23.14,24.01,35.99,31.36,23.25,21.27,15.96,20.02,21.69,22.48,21.51,20.16,12.53,13.37,14.10,13.02,13.99,12.41,13.31,14.00,12.92,13.47,9.80,9.60,10.32,11.87,8.96,16.21,16.33,13.96,14.63,12.27,19.31,21.07,17.77,15.06,17.71,8.10,8.24,7.79,8.75,7.05,0.00,0.02,0.05,0.00,0.00,0.89,0.96,0.83,73.74,78.76,1.58,1.63,1.79,1.93,1.80,1.00,1.10,1.35,1.48,1.38,1.64,2.04,2.26,4.55,4.89,0.00,19.13,8.60,28.21,25.05,0.00,10.24,4.74,16.45,14.83,0.00,80.87,91.40,71.79,74.95,0.00,89.76,95.26,83.55,85.17,"4,328.44","5,438.66","2,447.27",866.04,"3,277.89",1.31,1.85,1.20,0.54,2.04,6.53,8.51,5.35,2.49,10.11,1.33,1.88,1.27,0.60,2.09,0.00,80.86,91.39,71.78,74.94,2.20,3.20,1.72,0.74,2.86,1.33,1.88,1.27,0.60,2.09,0.07,0.05,0.08,0.20,0.04
SBI Cards & Payment Services Ltd.,23.92,17.16,10.48,13.35,9.43,23.80,17.02,10.38,13.21,9.43,25.60,18.71,11.78,14.36,11.27,103.90,82.20,67.01,56.88,42.78,103.90,82.20,67.01,56.88,42.78,2.50,2.50,1.00,1.00,1.00,144.46,113.21,98.64,98.79,83.60,51.18,35.50,26.48,33.38,29.02,49.45,33.92,25.17,32.28,28.05,32.03,23.03,14.07,18.42,15.90,23.87,17.14,10.47,13.26,10.30,35.42,31.35,26.84,33.78,34.71,34.23,29.96,25.51,32.66,33.55,22.17,20.34,14.26,18.64,19.02,16.52,15.13,10.61,13.41,12.32,22.97,20.84,15.62,23.30,24.08,41.23,35.68,16.08,22.49,23.17,4.95,4.66,3.64,4.91,4.26,3.03,2.96,2.87,3.25,3.81,0.34,0.35,0.35,36.66,34.58,1.27,1.28,2.07,2.01,1.88,1.27,1.28,2.07,2.01,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.70,0.00,0.00,0.00,0.00,8.87,0.00,0.00,0.00,0.00,90.30,0.00,0.00,0.00,0.00,91.13,"98,361.21","102,206.71","104,758.10","74,753.99",0.00,7.20,9.57,11.29,8.06,0.00,20.31,30.53,42.06,23.85,0.00,5.12,7.52,9.42,6.26,0.00,0.00,0.00,0.00,0.00,90.29,7.12,10.36,13.87,10.87,0.00,5.12,7.52,9.42,6.26,0.00,0.03,0.02,0.01,0.02,0.00
State Bank of India,56.29,35.49,22.87,16.23,0.97,56.29,35.49,22.87,16.23,0.97,59.98,39.13,26.59,19.94,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.29,35.49,22.87,16.23,0.97,,,,,,,,,,,,,,,,15.12,11.49,7.69,5.63,0.35,,,,,,,,,,,0.91,0.63,0.45,0.36,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.92,79.99,82.50,100.00,100.00,,,,,,,,,,,,,,,
SBI Life Insurance Company Ltd.,17.19,15.06,14.56,14.22,13.27,17.18,15.04,14.55,14.22,13.27,17.19,15.06,14.56,14.23,13.27,130.06,116.18,131.26,87.43,75.76,130.06,116.18,131.26,87.43,75.76,2.50,2.00,2.50,0.00,2.00,805.64,829.53,819.07,437.96,444.70,20.53,25.89,17.77,22.23,17.30,20.53,25.89,17.77,22.22,17.30,20.53,25.79,17.69,22.22,17.30,17.19,15.05,14.56,14.22,13.27,2.54,3.12,2.16,5.07,3.89,2.54,3.12,2.16,5.07,3.88,2.54,3.10,2.15,5.07,3.88,2.13,1.81,1.77,3.24,2.98,13.21,12.95,11.09,16.26,17.51,0.66,0.96,0.79,1.36,1.20,0.54,0.55,0.64,0.85,0.90,0.00,0.00,0.00,0.00,0.00,0.27,0.33,0.42,0.28,0.33,33.86,29.29,29.11,1.93,1.78,33.86,29.29,29.11,1.93,1.78,0.00,0.00,0.00,0.00,0.00,0.00,13.28,17.17,0.00,15.07,0.00,13.28,17.17,0.00,15.06,0.00,86.72,82.83,0.00,84.93,0.00,86.72,82.83,0.00,84.94,"105,897.95","108,857.30","85,345.72","62,673.46","55,534.37",1.31,1.31,1.04,1.43,1.25,51.53,42.02,48.02,28.20,32.09,1.36,1.35,1.08,1.46,1.30,0.00,86.71,82.82,0.00,84.92,8.46,9.64,6.71,7.33,7.65,1.36,1.35,1.08,1.46,1.30,0.02,0.01,0.02,0.02,0.02
Schaeffler India Ltd.,56.30,201.30,93.10,117.60,134.30,56.30,201.30,93.10,117.60,134.30,69.46,264.31,155.13,168.38,181.80,274.21,"1,168.80","1,004.57",947.59,865.68,274.21,"1,168.80","1,004.57",947.59,865.68,24.00,80.00,38.00,35.00,30.00,439.37,"1,778.79","1,203.40","1,394.96","1,459.22",87.78,333.95,190.79,222.90,265.66,74.58,270.89,128.74,172.13,218.15,75.31,269.72,127.07,170.91,202.08,56.25,201.25,93.08,117.61,134.29,19.97,18.77,15.85,15.97,18.20,16.97,15.22,10.69,12.33,14.94,17.13,15.16,10.55,12.25,13.84,12.80,11.31,7.73,8.43,9.20,20.51,17.21,9.26,12.41,15.51,26.87,22.83,12.42,17.89,24.79,15.35,12.84,7.00,10.08,11.14,0.00,0.00,0.00,0.00,0.02,1.29,1.23,90.61,119.62,121.07,2.87,2.88,2.98,3.55,2.62,1.98,1.96,2.19,2.42,1.72,2.38,2.53,5.27,6.05,5.01,28.44,18.88,37.60,25.50,6.72,23.03,14.37,22.56,17.81,4.96,71.56,81.12,62.40,74.50,93.28,76.97,85.63,77.44,82.19,95.04,"41,342.01","26,063.28","12,941.61","13,851.99","17,000.99",6.02,4.69,3.44,3.18,3.73,30.13,24.97,21.70,19.88,20.47,6.25,4.94,3.77,3.37,3.90,71.55,81.11,62.39,74.49,93.27,10.01,7.52,4.52,4.96,6.57,6.25,4.94,3.77,3.37,3.90,0.02,0.02,0.02,0.03,0.02
Sanofi India Ltd.,269.47,410.06,207.38,179.85,165.48,269.47,410.06,207.38,179.85,165.48,288.04,439.61,243.39,223.52,210.13,554.70,967.65,921.30,"1,061.87",964.87,554.70,967.65,921.30,"1,061.87",964.87,570.00,490.00,365.00,349.00,84.00,"1,204.39","1,285.48","1,261.70","1,335.04","1,204.70",337.35,363.87,349.09,330.17,310.09,319.13,334.87,313.35,286.74,265.43,375.78,546.78,294.43,260.83,265.13,269.83,410.61,207.65,180.09,165.48,28.00,28.30,27.66,24.73,25.73,26.49,26.05,24.83,21.47,22.03,31.20,42.53,23.33,19.53,22.00,22.40,31.94,16.45,13.48,13.73,48.64,42.43,22.53,16.95,17.15,55.14,33.32,32.29,25.95,25.86,29.95,30.85,16.36,12.76,12.75,0.00,0.00,0.00,0.00,0.00,1.08,0.99,0.94,94.64,92.85,2.17,2.85,2.67,3.03,2.55,1.62,2.33,2.13,2.36,1.78,1.37,1.46,1.41,6.54,5.74,253.46,89.00,168.29,36.69,42.98,237.43,83.13,143.58,29.56,33.85,-153.46,11.00,-68.29,63.31,57.02,-137.43,16.87,-43.58,70.44,66.15,"12,437.30","16,603.60","17,922.46","15,006.27","13,779.31",4.49,5.62,6.18,4.89,4.97,16.03,19.84,22.32,19.76,19.32,4.86,6.14,6.59,5.25,5.27,-153.46,10.99,-68.29,63.30,57.01,10.55,8.16,9.03,6.61,6.58,4.86,6.14,6.59,5.25,5.27,0.05,0.05,0.02,0.03,0.03
Route Mobile Ltd Ltd.,14.36,4.65,4.15,1.51,1.79,14.36,4.65,4.06,1.51,1.79,16.79,6.77,5.67,2.78,2.73,180.41,194.84,59.73,14.86,16.76,180.41,194.84,59.73,14.86,16.76,11.00,5.00,2.00,2.00,1.50,85.81,53.10,65.22,81.31,74.79,21.13,8.77,7.27,6.52,3.81,18.73,6.42,5.47,5.25,2.88,17.59,5.32,5.16,2.02,2.56,14.39,4.42,3.87,1.51,1.79,24.62,16.51,11.14,8.02,5.09,21.83,12.08,8.38,6.46,3.84,20.49,10.01,7.90,2.48,3.42,16.76,8.31,5.93,1.85,2.39,7.97,2.26,6.47,10.15,10.70,10.25,3.25,8.84,34.19,16.63,7.07,2.09,3.78,2.32,4.05,0.00,0.00,0.00,0.51,0.24,0.41,0.35,0.82,125.46,168.88,8.81,13.64,2.10,1.04,1.16,8.81,13.64,2.10,1.04,1.16,0.00,0.00,0.00,0.00,0.00,0.00,109.54,0.00,198.75,83.60,0.00,71.48,0.00,107.99,55.02,0.00,-9.54,0.00,-98.75,16.40,0.00,28.52,0.00,-7.99,44.98,"8,023.03","8,889.68","7,819.34",0.00,0.00,14.97,26.63,20.77,0.00,0.00,60.80,161.28,186.45,0.00,0.00,15.93,29.03,21.63,0.00,0.00,0.00,-9.54,0.00,-98.75,16.39,7.58,7.91,23.62,0.00,0.00,15.93,29.03,21.63,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Keystone Realtors Ltd.,10.22,12.00,3.99,3.75,10.19,10.22,12.00,3.99,3.75,10.19,9.97,12.34,4.10,3.90,10.37,133.05,70.80,58.78,54.88,50.99,133.05,70.80,58.78,54.88,50.99,0.00,0.00,0.00,0.00,0.00,28.81,85.11,53.03,26.68,141.38,14.03,18.41,13.02,10.10,20.08,13.65,18.07,12.91,9.95,19.90,12.82,15.60,7.20,5.27,13.02,9.59,12.00,3.99,3.75,10.19,48.69,21.62,24.55,37.85,14.20,47.38,21.22,24.34,37.30,14.07,44.49,18.33,13.57,19.73,9.20,33.29,14.10,7.51,14.05,7.20,7.20,16.95,6.78,6.83,19.97,9.61,20.38,17.34,12.01,38.86,3.39,4.81,1.55,1.47,4.07,0.30,1.14,1.24,1.37,1.49,0.11,0.34,0.21,0.11,0.58,1.58,1.14,1.09,1.27,1.09,0.63,0.38,0.29,0.31,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,376.99",0.00,0.00,0.00,0.00,16.39,0.00,0.00,0.00,0.00,33.66,0.00,0.00,0.00,0.00,16.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.48,0.00,0.00,0.00,0.00,16.07,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00
Steel Authority of India Ltd.,4.61,29.09,9.32,4.89,5.27,4.61,29.09,9.32,4.89,5.27,16.62,39.44,19.25,13.99,13.47,126.23,125.93,105.30,96.30,92.36,126.23,125.93,105.30,96.30,92.36,1.50,8.75,2.80,0.00,0.50,252.87,250.51,167.32,149.28,162.13,22.71,54.14,33.26,27.08,24.86,10.69,43.80,23.33,17.99,16.66,6.38,38.83,16.65,7.68,8.08,4.61,29.09,9.32,4.89,5.27,8.97,21.61,19.88,18.13,15.33,4.22,17.48,13.94,12.04,10.27,2.52,15.50,9.95,5.14,4.98,1.82,11.61,5.57,3.27,3.25,3.64,23.09,8.85,5.08,5.71,5.63,23.06,13.63,9.26,9.19,1.49,10.20,3.28,1.61,1.87,0.49,0.26,0.82,1.29,1.09,0.85,0.88,58.98,49.28,57.51,0.77,0.85,0.78,0.91,0.78,0.20,0.23,0.36,0.38,0.31,2.40,1.96,3.54,2.60,3.44,0.00,28.53,0.00,0.00,0.00,0.00,21.04,0.00,0.00,0.00,0.00,71.47,0.00,0.00,0.00,0.00,78.96,0.00,0.00,0.00,"59,538.97","53,444.19","67,464.91","60,358.43","63,395.41",0.57,0.52,0.98,0.98,0.95,6.35,2.39,4.91,5.40,6.17,0.33,0.39,0.47,0.15,0.33,0.00,71.46,0.00,0.00,0.00,0.66,0.78,0.75,0.24,0.58,0.33,0.39,0.47,0.15,0.33,0.06,0.30,0.12,0.21,0.10
RITES Ltd.,22.08,20.69,17.22,23.86,22.23,22.08,20.69,17.22,23.86,22.23,24.55,23.12,19.52,25.49,23.84,104.16,99.84,96.63,103.06,119.19,104.16,99.84,96.63,103.06,119.19,20.50,17.00,13.00,16.00,12.75,104.85,107.16,74.80,96.02,98.45,32.23,30.71,25.38,34.66,35.60,29.76,28.28,23.52,33.03,33.99,29.49,28.07,23.40,32.90,33.84,22.08,20.69,17.66,23.86,22.23,30.74,28.65,33.93,36.09,36.15,28.38,26.38,31.44,34.39,34.52,28.12,26.19,31.28,34.26,34.36,21.05,19.30,23.60,24.84,22.58,21.19,20.71,18.27,23.14,18.65,25.51,26.16,22.11,28.90,26.43,9.22,8.88,7.53,10.37,8.46,0.00,0.00,0.00,0.00,0.00,0.44,0.46,31.91,41.76,37.46,1.60,1.52,1.54,1.72,1.67,1.59,1.48,1.45,1.72,1.63,0.00,0.00,6.28,224.98,18.76,0.00,84.59,86.31,55.33,39.35,0.00,75.69,78.06,51.77,36.70,0.00,15.41,13.69,44.67,60.65,0.00,24.31,21.94,48.23,63.30,"5,125.58","3,048.80","2,457.69","2,548.12","1,712.38",2.03,1.18,1.37,1.06,0.87,6.62,4.13,4.03,2.94,2.41,3.38,2.45,3.22,2.56,2.63,0.00,15.40,13.68,44.66,60.64,3.40,2.63,2.49,2.39,2.17,3.38,2.45,3.22,2.56,2.63,0.06,0.08,0.07,0.10,0.09
RHI Magnesita India Ltd.,-25.50,16.64,8.44,7.26,7.48,-25.50,16.64,8.44,7.26,7.48,-20.48,18.73,13.78,8.17,8.20,155.77,63.81,66.71,35.52,31.32,155.77,63.81,66.71,35.52,31.32,2.50,2.50,2.50,2.50,2.50,132.36,123.65,113.74,57.94,62.26,20.12,24.34,18.30,10.63,12.17,17.90,22.25,15.83,9.71,11.45,-18.34,22.12,15.29,9.71,11.45,-22.70,16.64,11.32,7.26,7.48,15.19,19.68,16.08,18.33,19.54,13.52,17.99,13.91,16.76,18.38,-13.85,17.88,13.44,16.76,18.38,-17.15,13.45,9.94,12.53,12.00,-14.57,26.07,16.96,20.44,23.87,11.34,33.58,21.90,27.30,36.38,-9.62,16.02,10.79,15.07,17.67,0.21,0.06,0.07,0.00,0.00,0.81,1.36,108.54,120.29,147.21,1.11,2.20,2.43,2.85,3.37,0.67,1.19,1.53,1.99,2.47,1.45,1.49,3.88,5.33,6.37,0.00,15.02,25.16,34.42,33.43,0.00,13.34,20.66,30.58,30.50,0.00,84.98,74.84,65.58,66.57,0.00,86.66,79.34,69.42,69.50,"12,321.32","9,852.34","2,629.35","1,280.14","2,823.02",4.95,4.95,1.92,1.84,3.77,32.58,25.14,11.96,10.03,19.32,4.76,4.96,1.99,2.00,3.81,0.00,84.97,74.83,65.57,66.56,4.04,9.60,3.40,3.27,7.58,4.76,4.96,1.99,2.00,3.81,-0.04,0.03,0.05,0.06,0.03
Restaurant Brands Asia Ltd.,-1.45,-2.34,-5.47,-2.87,-1.44,-1.45,-2.34,-5.47,-2.87,-1.44,2.19,0.87,-1.21,1.43,1.66,38.31,39.56,17.58,9.92,9.42,38.31,39.56,17.58,9.92,9.42,0.00,0.00,0.00,0.00,0.00,29.11,19.15,12.91,30.29,23.88,4.00,2.25,1.13,3.95,3.41,0.36,-0.51,-2.20,-0.24,0.31,-1.45,-1.89,-4.54,-2.76,-1.44,-1.45,-1.89,-4.54,-2.76,-1.44,13.75,11.73,8.79,13.02,14.28,1.23,-2.64,-17.00,-0.80,1.29,-4.98,-9.84,-35.17,-9.10,-6.04,-4.98,-9.84,-35.17,-9.10,-6.04,-3.78,-4.76,-25.82,-27.80,-15.33,0.63,-0.94,-6.70,-0.65,1.15,-2.32,-3.21,-12.17,-6.39,-4.15,0.00,0.00,0.00,0.72,0.40,0.48,0.44,0.38,70.23,68.74,0.79,2.25,2.19,0.51,0.38,0.72,2.20,2.13,0.45,0.35,29.61,0.00,0.00,89.17,92.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,439.40","4,855.71","4,728.18",0.00,0.00,3.08,5.15,9.56,0.00,0.00,22.43,43.86,108.78,0.00,0.00,3.09,5.26,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,2.55,7.34,0.00,0.00,3.09,5.26,10.00,0.00,0.00,-0.02,-0.02,-0.04,0.00,0.00
Reliance Industries Ltd.,65.34,59.24,49.66,48.42,55.48,65.34,58.49,48.90,48.72,55.47,80.31,72.96,63.84,64.10,72.13,742.83,697.01,736.20,617.15,639.41,742.83,697.01,736.20,617.15,639.41,0.00,8.00,7.00,6.50,6.50,802.91,626.32,381.17,531.56,586.24,115.77,97.83,74.97,104.74,106.76,100.80,82.64,60.70,89.39,90.11,82.13,69.16,42.22,63.60,74.72,65.33,57.77,49.56,48.75,55.47,14.41,15.62,19.66,19.70,18.21,12.55,13.19,15.92,16.81,15.37,10.22,11.04,11.07,11.96,12.74,8.13,9.22,13.00,9.17,9.46,8.79,8.28,6.73,7.89,8.67,10.07,8.24,5.82,8.84,9.95,4.83,4.44,3.65,3.18,4.53,0.43,0.41,0.41,0.65,0.39,0.61,0.48,28.11,34.67,47.90,1.16,1.11,1.04,0.50,0.76,0.96,0.88,0.86,0.39,0.54,8.26,7.70,6.56,8.68,8.42,0.00,10.99,12.27,12.46,10.10,0.00,8.70,9.53,9.48,7.77,0.00,89.01,87.73,87.54,89.90,0.00,91.30,90.47,90.52,92.23,"1,731,943.43","1,954,716.18","1,479,239.40","950,998.06","1,017,464.40",3.19,4.61,6.02,2.82,2.74,22.11,29.53,30.61,14.32,15.03,2.90,4.21,5.26,2.09,2.33,0.00,89.00,87.72,87.53,89.89,3.14,3.78,2.72,1.80,2.13,2.90,4.21,5.26,2.09,2.33,0.03,0.02,0.02,0.04,0.04
